newdist,category,horse_name,wrace,life_win,horse_weight,lspedrat,aversprat,jock_per_win,jock_num_win,jockey_weight,postpos,result,winner
True,Cab 3a perd,Big Joker,357460.08,30.0,530.0,,,16.424,113,56.0,10,2,False
False,Cab 3a perd,Hard Heart,613260.98,12.0,472.0,58.852,58.371,10.288,107,57.0,7,3,False
False,Cab 3a perd,Kebel,604116.29,0.0,460.0,57.687,58.054,2.878,12,56.0,9,4,False
False,Cab 3a perd,Happy Lark,290706.71,0.0,460.0,56.901,58.272,6.786,68,56.0,5,5,False
True,Cab 3a perd,Carcara,33630.0,0.0,468.0,,,12.741,99,56.0,12,6,False
False,Cab 3a perd,Johnbo,108366.3,12.5,486.0,58.34,58.216,12.342,39,57.0,3,7,False
False,Cab 3a perd,Yezekael,93660.03,0.0,496.0,58.94,58.432,6.849,5,56.0,2,8,False
False,Cab 3a perd,Mete y Ponga,366550.04,9.091,476.0,56.346,58.605,19.178,70,57.0,1,9,False
True,Cab 3a perd,Lawyer Southern,101975.19,4.762,476.0,57.366,56.842,7.514,26,57.0,8,10,False
False,Cab 3a perd,Sinuoso,490108.32,13.636,412.0,58.466,58.273,13.939,161,56.0,6,11,False
False,Cab 3a perd,Centelleante,85356.91,0.0,458.0,57.645,58.017,10.907,83,56.0,11,12,False
False,Hcap TCab 3a y+ g,Sub Chopper,703977.61,25.0,416.0,54.938,59.25,10.841,147,51.5,4,1,True
True,Hcap TCab 3a y+ g,Sub Drop,1163688.3,16.129,484.0,60.571,60.741,9.286,39,59.5,2,2,False
True,Hcap TCab 3a y+ g,Cafe Diciembre,654346.83,21.739,418.0,60.462,60.108,13.939,161,57.5,12,3,False
True,Hcap TCab 3a y+ g,Don Lauro,430776.91,11.538,476.0,60.676,60.839,9.099,107,54.5,13,4,False
True,Hcap TCab 3a y+ g,Excluyente,329983.18,7.692,460.0,59.518,60.038,8.772,45,52.0,3,5,False
True,Hcap TCab 3a y+ g,Sem Parar,265938.25,6.452,446.0,60.287,59.628,10.7,107,51.5,8,6,False
True,Hcap TCab 3a y+ g,Otto,590571.2,9.524,520.0,59.452,60.073,9.375,48,57.5,9,7,False
True,Hcap TCab 3a y+ g,Cat Zaeta,419755.01,13.636,438.0,58.102,59.222,5.882,6,50.0,11,8,False
False,Hcap TCab 3a y+ g,Qinling,592285.09,25.0,462.0,60.785,59.974,13.208,42,56.5,1,9,False
True,Hcap TCab 3a y+ g,Blue Me,668405.87,38.095,504.0,60.569,59.654,13.109,191,55.0,10,0,False
False,Hcap TCab 3a y+ g,Clockmaker,144862.79,25.0,,59.07,59.641,11.478,80,56.5,5,0,False
True,TCab 3a y+ URU G2,El Danzarín,2743902.19,42.105,504.0,59.371,60.961,16.424,113,59.0,3,1,True
True,TCab 3a y+ URU G2,Enjoy,3361219.5,76.471,438.0,61.243,61.69,10.7,107,57.0,14,2,False
True,TCab 3a y+ URU G2,El Tranco,374725.66,0.0,508.0,60.288,60.474,10.288,107,59.0,6,3,False
